PartNumber,Text,Image,Cad
sideCoverNG2,,basis-set/boxset/images/sideCoverNG2.png,basis-set/boxset/sideCoverNG2.fcstd
frontbackNG2b,,basis-set/boxset/images/frontbackNG2b.png,basis-set/boxset/frontbackNG2b.fcstd
seitenwand1c,,basis-set/boxset/images/seitenwand1c.png,basis-set/boxset/seitenwand1c.fcstd
frontback,,basis-set/boxset/images/frontback.png,basis-set/boxset/frontback.fcstd
frontbackNG2c_ifmount,,basis-set/boxset/images/frontbackNG2c_ifmount.png,basis-set/boxset/frontbackNG2c_ifmount.fcstd
bottom_plate,,basis-set/boxset/images/bottom_plate.png,basis-set/boxset/bottom_plate.fcstd
UPKframeNG1f,,basis-set/boxset/images/UPKframeNG1f.png,basis-set/boxset/UPKframeNG1f.fcstd
front_plate,,basis-set/boxset/images/front_plate.png,basis-set/boxset/front_plate.fcstd
top_plate4,,basis-set/boxset/images/top_plate4.png,basis-set/boxset/top_plate4.fcstd
topbottomNG2b,,basis-set/boxset/images/topbottomNG2b.png,basis-set/boxset/topbottomNG2b.fcstd
frontback_ifmount,,basis-set/boxset/images/frontback_ifmount.png,basis-set/boxset/frontback_ifmount.fcstd
ifmountNG1c,,basis-set/boxset/images/ifmountNG1c.png,basis-set/boxset/ifmountNG1c.fcstd
