PartNumber,Text,Image,Cad
tslot16,,basis-set/tslotprofile/images/tslot16.png,basis-set/tslotprofile/tslot16.fcstd
tslot64,,basis-set/tslotprofile/images/tslot64.png,basis-set/tslotprofile/tslot64.fcstd
tslot8con,,basis-set/tslotprofile/images/tslot8con.png,basis-set/tslotprofile/tslot8con.fcstd
tslot8,,basis-set/tslotprofile/images/tslot8.png,basis-set/tslotprofile/tslot8.fcstd
tslot16con,,basis-set/tslotprofile/images/tslot16con.png,basis-set/tslotprofile/tslot16con.fcstd
tslot32con,,basis-set/tslotprofile/images/tslot32con.png,basis-set/tslotprofile/tslot32con.fcstd
tslot40,,basis-set/tslotprofile/images/tslot40.png,basis-set/tslotprofile/tslot40.fcstd
tslot12con,,basis-set/tslotprofile/images/tslot12con.png,basis-set/tslotprofile/tslot12con.fcstd
tslot32,,basis-set/tslotprofile/images/tslot32.png,basis-set/tslotprofile/tslot32.fcstd
tslot24con,,basis-set/tslotprofile/images/tslot24con.png,basis-set/tslotprofile/tslot24con.fcstd
tslot64con,,basis-set/tslotprofile/images/tslot64con.png,basis-set/tslotprofile/tslot64con.fcstd
tslot6con,,basis-set/tslotprofile/images/tslot6con.png,basis-set/tslotprofile/tslot6con.fcstd
tslot4,,basis-set/tslotprofile/images/tslot4.png,basis-set/tslotprofile/tslot4.fcstd
tslot4con,,basis-set/tslotprofile/images/tslot4con.png,basis-set/tslotprofile/tslot4con.fcstd
tslot56,,basis-set/tslotprofile/images/tslot56.png,basis-set/tslotprofile/tslot56.fcstd
tslot48con,,basis-set/tslotprofile/images/tslot48con.png,basis-set/tslotprofile/tslot48con.fcstd
tslot56con,,basis-set/tslotprofile/images/tslot56con.png,basis-set/tslotprofile/tslot56con.fcstd
tslot-screw,,basis-set/tslotprofile/images/tslot-screw.png,basis-set/tslotprofile/tslot-screw.fcstd
tslot40con,,basis-set/tslotprofile/images/tslot40con.png,basis-set/tslotprofile/tslot40con.fcstd
tslot48,,basis-set/tslotprofile/images/tslot48.png,basis-set/tslotprofile/tslot48.fcstd
tslot24,,basis-set/tslotprofile/images/tslot24.png,basis-set/tslotprofile/tslot24.fcstd
tslot6,,basis-set/tslotprofile/images/tslot6.png,basis-set/tslotprofile/tslot6.fcstd
tslot12,,basis-set/tslotprofile/images/tslot12.png,basis-set/tslotprofile/tslot12.fcstd
