PartNumber,Text,Image,Cad
angle24,,basis-set/winkel/images/angle24.png,basis-set/winkel/angle24.fcstd
angle4,,basis-set/winkel/images/angle4.png,basis-set/winkel/angle4.fcstd
angle8,,basis-set/winkel/images/angle8.png,basis-set/winkel/angle8.fcstd
angle6,,basis-set/winkel/images/angle6.png,basis-set/winkel/angle6.fcstd
angle16,,basis-set/winkel/images/angle16.png,basis-set/winkel/angle16.fcstd
all_angles,,basis-set/winkel/images/all_angles.png,basis-set/winkel/all_angles.fcstd
angle56,,basis-set/winkel/images/angle56.png,basis-set/winkel/angle56.fcstd
angle64,,basis-set/winkel/images/angle64.png,basis-set/winkel/angle64.fcstd
angle40,,basis-set/winkel/images/angle40.png,basis-set/winkel/angle40.fcstd
angle48,,basis-set/winkel/images/angle48.png,basis-set/winkel/angle48.fcstd
angle2,,basis-set/winkel/images/angle2.png,basis-set/winkel/angle2.fcstd
angle32,,basis-set/winkel/images/angle32.png,basis-set/winkel/angle32.fcstd
angle12,,basis-set/winkel/images/angle12.png,basis-set/winkel/angle12.fcstd
